INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000001', 'RD001', TO_TIMESTAMP('2025-05-20 20:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-21 00:29', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD001', 1541.48, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000002', 'RD002', TO_TIMESTAMP('2025-03-26 20:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-26 23:17', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD002', 1443.06, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000003', 'RD003', TO_TIMESTAMP('2025-05-06 07:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-06 15:15', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD003', 1903.66, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000004', 'RD004', TO_TIMESTAMP('2025-03-27 10:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-27 15:57', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD004', 305.07, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000005', 'RD005', TO_TIMESTAMP('2025-03-10 19:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-11 00:46', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD005', 815.41, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000006', 'RD006', TO_TIMESTAMP('2025-05-07 15:15', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-05-07 20:58', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD006', 608.71, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000007', 'RD007', TO_TIMESTAMP('2025-04-27 09:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-27 15:31', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD007', 1383.57, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000008', 'RD008', TO_TIMESTAMP('2025-04-24 12:00', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-24 18:20', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD008', 1409.41, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000009', 'RD009', TO_TIMESTAMP('2025-03-17 20:30', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-03-17 23:12', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD009', 1163.47, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000010', 'RD010', TO_TIMESTAMP('2025-04-11 17:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-11 21:25', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD010', 209.07, SYSTIMESTAMP, SYSTIMESTAMP);
INSERT INTO busSchedule (busScheduleId, routeDriverAssignmentId, plannedDepartureTime, plannedArrivalTime, status, remarks, expectedProfit, createdAt, updatedAt) VALUES ('S000011', 'RD011', TO_TIMESTAMP('2025-04-01 12:45', 'YYYY-MM-DD HH24:MI'), TO_TIMESTAMP('2025-04-01 16:00', 'YYYY-MM-DD HH24:MI'), 'Planned', 'Generated schedule for RD011', 919.49, SYSTIMESTAMP, SYSTIMESTAMP);
