INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0001', 'CUST0050', 'TIC0075', 447.7, 240.39, 0, 0.0, 'failed', TIMESTAMP '2022-10-28 04:36:00', 'RCPT10001', 'Customer used promo', 'Online Banking', 'Penalty Payment');

INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0002', 'CUST0064', 'TIC0124', 329.1, 213.27, 126, 12.6, 'failed', TIMESTAMP '2024-02-01 16:48:00', 'RCPT10002', '', 'Credit Card', 'Penalty Payment');

INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0003', 'CUST0092', 'TIC0093', 189.6, 96.87, 59, 5.9, 'pending', TIMESTAMP '2021-11-15 22:30:00', 'RCPT10003', 'Late night booking', 'Debit Card', 'Penalty Payment');

INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0004', 'CUST0035', 'TIC0285', 260.75, 223.59, 40, 4.0, 'completed', TIMESTAMP '2020-03-24 16:47:00', 'RCPT10004', 'VIP Customer', 'Debit Card', 'Penalty Payment');

INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0005', 'CUST0039', 'TIC0182', 379.5, 263.99, 0, 0.0, 'failed', TIMESTAMP '2023-06-23 21:22:00', 'RCPT10005', 'VIP Customer', 'Debit Card', 'Penalty Payment');

INSERT INTO paymentRecord (paymentId, customerId, ticketId, totalAmount, cashAmount, pointsApplied, pointValue, status, paymentTime, receiptNo, remarks, paymentMethod, type)
VALUES ('PAY0006', 'CUST0049', 'TIC0021', 116.91, 38.63, 0, 0.0, 'failed', TIMESTAMP '2023-11-04 00:46:00', 'RCPT10006', 'Customer used promo', 'Online Banking', 'Top-Up');

