INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00001', 'B0003', 'S001', 255.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-01-15 10:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-01-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Routine checkup');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00002', 'B0025', 'S004', 410.50, 50.00, 'Replaced extra worn tire.', 'completed', TO_TIMESTAMP('2025-01-17 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-01-17 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Emergency replacement');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00003', 'B0101', 'S013', 185.00, 0, NULL, 'in_progress', TO_TIMESTAMP('2025-08-25 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-08-25 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'AC not cooling effectively.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00004', 'B0250', 'S020', 500.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-02-01 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-02-01 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Yearly mandatory inspection.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00005', 'B0333', 'S002', 175.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-02-05 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-02-05 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Post-trip inspection.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00006', 'B0450', 'S017', 265.50, 25.00, 'Minor parts replaced.', 'in_progress', TO_TIMESTAMP('2025-08-26 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-08-26 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Door alignment issue.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00007', 'B0015', 'S008', 350.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-02-10 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-02-10 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Routine transmission check.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00008', 'B0112', 'S011', 200.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-02-12 11:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-02-12 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), NULL);
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00009', 'B0280', 'S019', 1250.00, 50.00, 'Additional coat for branding.', 'completed', TO_TIMESTAMP('2025-03-01 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-02-28 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Full body repaint.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00010', 'B0399', 'S005', 155.00, 0, NULL, 'in_progress', TO_TIMESTAMP('2025-08-27 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-08-27 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Driver reported steering issues.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00011', 'B0488', 'S007', 220.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-03-05 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-03-05 08:30:00', 'YYYY-MM-DD HH24:MI:SS'), 'Coolant flush as per schedule.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00012', 'B0050', 'S014', 125.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-03-10 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-03-10 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Pre-holiday cleaning.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00013', 'B0121', 'S018', 85.00, 5.00, 'Upgraded to premium wipers.', 'completed', TO_TIMESTAMP('2025-03-12 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-03-12 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), NULL);
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00014', 'B0222', 'S003', 90.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-03-15 09:30:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-03-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Routine filter change.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00015', 'B0301', 'S012', 310.00, 10.00, 'Replaced a faulty sensor.', 'in_progress', TO_TIMESTAMP('2025-08-28 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-08-28 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Check engine light was on.');
INSERT INTO busMaintenance (maintenanceId, busId, serviceId, actualCost, additionalCost, additionalRemarks, status, maintenanceDoneDate, createdAt, remarks) VALUES ('M00016', 'B0404', 'S009', 450.00, 0, NULL, 'completed', TO_TIMESTAMP('2025-03-18 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_TIMESTAMP('2025-03-18 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'Replaced rear shock absorbers.');
